h3_index,latitude,longitude,gpu_count,construction_years,ng_configuration,ng_nameplate_mw,ng_base_lcoe,idling_cost_npv_millions,ng_total_lcoe,capex_npv,opex_npv,energy_npv,gas_price,state,facility_load_mw,annual_pue,eue_total_mwh,diesel_capacity_mw,used_cached_facility
8412c93ffffffff,48.77000828904844,-111.6132304376774,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15321536437467204,5903.577395405712,0.8545228335843104,592538565.759018,697222062.0160449,8417958.819202289,7.14,Montana,122.53893594396305,1.0983882213464475,2405.6960586288706,148.0,True
8412c95ffffffff,48.98368621261201,-112.6243422580039,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325411949180798,5903.577395405712,0.8548433982430331,592535818.9887438,697032854.573407,8414577.55157494,7.14,Montana,122.48971534950587,1.0979470283429098,2404.765619762218,148.0,True
8412c97ffffffff,48.68986128979077,-112.18776453383892,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15323681339524564,5903.577395405712,0.854700248286599,592537045.8070875,697117329.1843787,8416087.142617907,7.14,Montana,122.51169023487753,1.0981440021053448,2405.1810208288957,148.0,True
8412ca3ffffffff,48.72027816985041,-114.32389734102182,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325607722645584,5903.577395405712,0.8548595915844106,592535680.56455,697023300.6937069,8414406.818939814,7.14,Montana,122.48723002071196,1.0979247508859336,2404.718638482699,148.0,True
8412ca5ffffffff,48.90848568990036,-115.32716494751485,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1532507463196666,5903.577395405712,0.8548154967424791,592536057.8383328,697049317.2201861,8414871.744693272,7.14,Montana,122.49399787362559,1.0979854151137307,2404.846574227159,148.0,True
8412ca7ffffffff,48.62792044287574,-114.8806373627701,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15324207255261169,5903.577395405712,0.8547437485778518,592536673.9617046,697091656.8965814,8415628.354383718,7.14,Montana,122.50501172489093,1.098084138710507,2405.0547739736635,148.0,True
8412cb1ffffffff,48.52232287159422,-113.32283834993422,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325620143860627,5903.577395405712,0.8548606181064842,592535672.4219503,697022695.5479468,8414395.997453248,7.14,Montana,122.48707249399112,1.0979233388817131,2404.7156606847834,148.0,True
8412cb3ffffffff,48.2325465009541,-112.88835662119864,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325391263232366,5903.577395405712,0.8548416848907693,592535835.273943,697033866.6911364,8414595.61987776,7.14,Montana,122.48997836701989,1.0979493859228673,2404.7705916996833,148.0,True
8412cb5ffffffff,48.4350583563519,-113.88327214648874,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325560506317126,5903.577395405712,0.8548556834383976,592535715.8491484,697025607.8402792,8414448.027254052,7.14,Montana,122.4878298838245,1.0979301278101916,2404.7299779628647,148.0,True
8412cb7ffffffff,48.14811690196945,-113.44749290266672,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325383445392085,5903.577395405712,0.8548410383803092,592535840.7023427,697034248.0593439,8414602.436256982,7.14,Montana,122.4900775920072,1.0979502753345183,2404.7724673939074,148.0,True
8412cb9ffffffff,48.89822593894395,-113.1957036163432,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325537105790416,5903.577395405712,0.8548537482349727,592535732.1343477,697026749.3843584,8414468.430156836,7.14,Montana,122.4881268857523,1.0979327900123454,2404.735592322873,148.0,True
8412cbbffffffff,48.607278352197774,-112.75765225296932,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325347600031466,5903.577395405712,0.8548380747303608,592535865.1301416,697035995.9405065,8414633.682227217,7.14,Montana,122.49053243480549,1.0979543523567998,2404.781065490343,148.0,True
8412cbdffffffff,48.81040162656103,-113.76223813104804,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1532566331335248,5903.577395405712,0.8548641879278829,592535642.5657518,697020589.9469523,8414358.361828154,7.14,Montana,122.48652463796665,1.0979184281274321,2404.7053043178166,148.0,True
8412d81ffffffff,48.8802535965994,-117.42335711850694,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17976186852044138,5903.577395405712,0.8813657518918552,592535677.8503501,920053018.8564138,8414402.393323822,10.32,Washington,122.4871655976985,1.0979241734247485,2404.717420665721,148.0,True
8412d83ffffffff,48.61863723038245,-117.022919618367,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17973508316745054,5903.577395405712,0.8811498463514361,592537520.7920659,920233566.7911,8416671.141347457,10.32,Washington,122.52019141484871,1.0982202031583077,2405.341722428395,148.0,True
8412d85ffffffff,48.78238334672553,-118.0167462706792,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1796903526639946,5903.577395405712,0.8807893075134242,592540598.6947249,920535261.4560916,8420462.41057881,10.32,Washington,122.57538033979654,1.0987148938020979,2406.384983310278,148.0,True
8412d87ffffffff,48.522649189765886,-117.61579537910067,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17976006996593624,5903.577395405712,0.8813512564665911,592535799.9893446,920065136.3772644,8414554.670863448,10.32,Washington,122.4893822784966,1.0979440428324625,2404.7593235722634,148.0,True
8412d8bffffffff,48.98459205902086,-116.8803211708337,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14400423176911548,5903.577395405712,0.8456089045558463,592535669.7077506,619172519.3757267,8414392.92580117,6.03,Idaho,122.48702778042271,1.0979229380878226,2404.7148154442416,148.0,True
8412d91ffffffff,48.445311976615336,-116.02963793834527,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14400261984908275,5903.577395405712,0.8455954458941127,592535786.4183452,619179299.3993701,8414535.006985385,6.03,Idaho,122.48909603443838,1.0979414770593916,2404.7539125730655,148.0,True
8412d93ffffffff,48.17619419814967,-115.63389610278712,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.15325529283357406,5903.577395405712,0.8548531013482734,592535737.5627475,697027130.9615422,8414475.250291528,7.14,Montana,122.48822616540737,1.0979336799140156,2404.737469050506,148.0,True
8412d95ffffffff,48.35419794256735,-116.6244554564418,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14395927074627368,5903.577395405712,0.8452335627496543,592538888.7488031,619361656.1990145,8418357.071867755,6.03,Idaho,122.54473324695668,1.0984401859671187,2405.8056476349866,148.0,True
8412d97ffffffff,48.08695113516558,-116.22798833846014,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14395552448644622,5903.577395405712,0.8452022883438525,592539157.4545909,619377423.2752835,8418687.542929132,6.03,Idaho,122.54954386353144,1.0984833063397776,2405.8965848673192,148.0,True
8412d99ffffffff,48.81110278975933,-115.87985502628482,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14400053366246798,5903.577395405712,0.8455780298921552,592535935.6993384,619188072.0185314,8414718.868737714,6.03,Idaho,122.4917724817785,1.0979654676237849,2404.8045066517693,148.0,True
8412d9bffffffff,48.53339322374474,-115.432418793089,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1532429367543705,5903.577395405712,0.8547508985602371,592536611.5351074,697087436.493941,8415552.947123146,7.14,Montana,122.50391403295977,1.0980742994551016,2405.034023813134,148.0,True
8412d9dffffffff,48.71163002373002,-116.42743460042368,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14394990797281376,5903.577395405712,0.8451554025623257,592539559.1561725,619401062.1541655,8419183.022605501,6.03,Idaho,122.55675648521665,1.0985479572904573,2406.032928274391,148.0,True
8412da1ffffffff,48.32183954556986,-118.79328645883768,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17975749445051206,5903.577395405712,0.881330493430968,592535979.1265364,920082497.4040486,8414772.809080372,10.32,Washington,122.49255768307684,1.0979725058427054,2404.8193496623862,148.0,True
8412da3ffffffff,48.0630165455582,-118.3933842560545,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17968059022854752,5903.577395405712,0.8807106205927506,592541271.8162942,920601139.9507426,8421290.30098561,10.32,Washington,122.58743181352153,1.0988229182164395,2406.6127976972807,148.0,True
8412da5ffffffff,48.21709778669041,-119.37769378000056,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17974873104868355,5903.577395405712,0.8812598554696223,592536581.6789088,920141562.0181031,8415515.007376129,10.32,Washington,122.50336174987909,1.098069349018524,2405.0235837595483,148.0,True
8412da7ffffffff,47.96013660876842,-118.97749714445942,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17967404798015965,5903.577395405712,0.8806578901750037,592541722.3734735,920645293.2865483,8421845.183936158,10.32,Washington,122.59550915956162,1.0988953201977512,2406.7654873748024,148.0,True
8412da9ffffffff,48.6815601706644,-118.60732290391506,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17976231518708005,5903.577395405712,0.8813693511520458,592535647.9941516,920050010.4786844,8414364.584138095,10.32,Washington,122.48661521517849,1.0979192400240088,2404.707016539281,148.0,True
8412dabffffffff,48.42370356484366,-118.20595288924991,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17974157090851717,5903.577395405712,0.8812021426720027,592537072.9490863,920189825.3889953,8416121.49427587,10.32,Washington,122.51219028669593,1.0981484843625404,2405.190473531617,148.0,True
8412dadffffffff,48.57782433264744,-119.19498238927092,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17976062273284654,5903.577395405712,0.8813557121069733,592535761.9905463,920061411.2541822,8414507.86189528,10.32,Washington,122.48870088752341,1.0979379351262601,2404.7464429345578,148.0,True
8412db1ffffffff,47.89950200626645,-117.4088006244651,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1797237369714434,5903.577395405712,0.8810583937864289,592538299.7674302,920310068.2583266,8417632.492619134,10.32,Washington,122.53418565792234,1.0983456417516848,2405.6062618515507,148.0,True
8412db3ffffffff,47.63318579081776,-117.01306893199052,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17974594223709517,5903.577395405712,0.8812373786214188,592536771.6729001,920160356.8569064,8415751.196955938,10.32,Washington,122.50679992538132,1.098100167398376,2405.088577125697,148.0,True
8412db5ffffffff,47.801368393051945,-117.99530249222042,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17974394418098524,5903.577395405712,0.8812212719025545,592536910.0970938,920173827.5037025,8415920.46115133,10.32,Washington,122.50926387832314,1.0981222532510757,2405.135154327943,148.0,True
8412db7ffffffff,47.53690920696168,-117.59906693308292,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17974793691351418,5903.577395405712,0.8812534547625319,592536635.9629062,920146914.2494851,8415582.265849426,10.32,Washington,122.50434082116324,1.0980781250076257,2405.042091581041,148.0,True
